MsgID.STATE,1529058544.8144209,False,False
MsgID.LOCAL_POSITION,1529058550.9237061,3.3525820,3.9078641,-4.9778357
MsgID.LOCAL_VELOCITY,1529058550.9237061,1.7507588,0.8432922,-0.0038261
MsgID.GLOBAL_POSITION,1529058551.1738298,-122.3974032,37.7925149,4.9730000
MsgID.LOCAL_VELOCITY,1529058551.1738298,1.5000000,0.9100000,-0.0400000
MsgID.LOCAL_POSITION,1529058551.1740260,3.8865628,4.1557741,-4.9736419
MsgID.LOCAL_VELOCITY,1529058551.1740260,1.5054243,0.9161284,-0.0491511
MsgID.GLOBAL_POSITION,1529058551.4248619,-122.3973979,37.7925180,4.9700000
MsgID.LOCAL_VELOCITY,1529058551.4248619,1.1200000,1.2100000,-0.1200000
MsgID.LOCAL_POSITION,1529058551.4251120,4.2318339,4.6240907,-4.9707088
MsgID.LOCAL_VELOCITY,1529058551.4251120,1.1220062,1.2144816,-0.1292121
MsgID.GLOBAL_POSITION,1529058551.6748490,-122.3973954,37.7925204,4.9720000
MsgID.LOCAL_VELOCITY,1529058551.6748490,1.3000000,1.4000000,-0.1300000
MsgID.LOCAL_POSITION,1529058551.6750450,4.4902143,4.8504429,-4.9724312
MsgID.LOCAL_VELOCITY,1529058551.6750450,1.3009518,1.4085586,-0.1345315
MsgID.STATE,1529058551.9161191,True,True
MsgID.GLOBAL_HOME,1529058551.9163001,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058551.9243760,-122.3973928,37.7925232,4.9720000
MsgID.LOCAL_VELOCITY,1529058551.9243760,1.1400000,1.7300000,-0.1300000
MsgID.LOCAL_POSITION,1529058551.9245639,4.8027797,5.0805755,-4.9721379
MsgID.LOCAL_VELOCITY,1529058551.9245639,1.1406163,1.7389053,-0.1396777
MsgID.GLOBAL_POSITION,1529058552.1749701,-122.3973871,37.7925255,4.9750000
MsgID.LOCAL_VELOCITY,1529058552.1749701,1.0400000,1.6700000,-0.1100000
MsgID.LOCAL_POSITION,1529058552.1751628,5.0593333,5.5949121,-4.9760318
MsgID.LOCAL_VELOCITY,1529058552.1751628,1.0489440,1.6676712,-0.1110845
MsgID.GLOBAL_POSITION,1529058552.4247739,-122.3973824,37.7925283,4.9750000
MsgID.LOCAL_VELOCITY,1529058552.4247739,1.4300000,1.1800000,-0.0600000
MsgID.LOCAL_POSITION,1529058552.4249909,5.3732710,6.0089979,-4.9757299
MsgID.LOCAL_VELOCITY,1529058552.4249909,1.4386379,1.1784830,-0.0663817
MsgID.GLOBAL_POSITION,1529058552.6745951,-122.3973797,37.7925317,4.9800000
MsgID.LOCAL_VELOCITY,1529058552.6745951,1.3300000,0.9800000,-0.0400000
MsgID.LOCAL_POSITION,1529058552.6748350,5.7539668,6.2458286,-4.9809489
MsgID.LOCAL_VELOCITY,1529058552.6748350,1.3326408,0.9850810,-0.0469529
MsgID.STATE,1529058552.9169211,True,True
MsgID.GLOBAL_HOME,1529058552.9172139,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058552.9250970,-122.3973766,37.7925342,4.9900000
MsgID.LOCAL_VELOCITY,1529058552.9250970,1.1800000,1.1600000,-0.0500000
MsgID.LOCAL_POSITION,1529058552.9252710,6.0271206,6.5199423,-4.9904213
MsgID.LOCAL_VELOCITY,1529058552.9252710,1.1836386,1.1604055,-0.0502874
MsgID.GLOBAL_POSITION,1529058553.1753731,-122.3973735,37.7925357,4.9840000
MsgID.LOCAL_VELOCITY,1529058553.1753731,1.5100000,1.0100000,0.0600000
MsgID.LOCAL_POSITION,1529058553.1756039,6.1999259,6.7970119,-4.9849253
MsgID.LOCAL_VELOCITY,1529058553.1756039,1.5128273,1.0110228,0.0606382
MsgID.GLOBAL_POSITION,1529058553.4255419,-122.3973707,37.7925398,4.9720000
MsgID.LOCAL_VELOCITY,1529058553.4255419,1.5000000,1.1200000,-0.0200000
MsgID.LOCAL_POSITION,1529058553.4257431,6.6506672,7.0430851,-4.9722958
MsgID.LOCAL_VELOCITY,1529058553.4257431,1.5024157,1.1230381,-0.0282892
MsgID.GLOBAL_POSITION,1529058553.6753888,-122.3973670,37.7925436,4.9840000
MsgID.LOCAL_VELOCITY,1529058553.6753888,1.0300000,1.4200000,-0.0200000
MsgID.LOCAL_POSITION,1529058553.6756191,7.0772691,7.3712373,-4.9846144
MsgID.LOCAL_VELOCITY,1529058553.6756191,1.0374200,1.4238567,-0.0242730
MsgID.GLOBAL_HOME,1529058553.9168589,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1529058553.9172349,True,True
MsgID.GLOBAL_POSITION,1529058553.9251649,-122.3973628,37.7925464,4.9840000
MsgID.LOCAL_VELOCITY,1529058553.9251649,0.7300000,1.2600000,0.0000000
MsgID.LOCAL_POSITION,1529058553.9253509,7.3842926,7.7505422,-4.9846897
MsgID.LOCAL_VELOCITY,1529058553.9253509,0.7375727,1.2656275,-0.0081082
MsgID.GLOBAL_POSITION,1529058554.1750250,-122.3973604,37.7925491,4.9830000
MsgID.LOCAL_VELOCITY,1529058554.1750250,0.9800000,1.2800000,0.0000000
MsgID.LOCAL_POSITION,1529058554.1752388,7.6858459,7.9615369,-4.9836316
MsgID.LOCAL_VELOCITY,1529058554.1752388,0.9878560,1.2849325,-0.0068003
MsgID.GLOBAL_POSITION,1529058554.4248509,-122.3973572,37.7925498,4.9870000
MsgID.LOCAL_VELOCITY,1529058554.4248509,0.8200000,1.5600000,0.0000000
MsgID.LOCAL_POSITION,1529058554.4250391,7.7626987,8.2422504,-4.9875402
MsgID.LOCAL_VELOCITY,1529058554.4250391,0.8289044,1.5697590,0.0001928
MsgID.GLOBAL_POSITION,1529058554.6746969,-122.3973513,37.7925502,4.9850000
MsgID.LOCAL_VELOCITY,1529058554.6746969,0.9200000,1.4300000,0.0100000
MsgID.LOCAL_POSITION,1529058554.6749160,7.8063874,8.7656507,-4.9856539
MsgID.LOCAL_VELOCITY,1529058554.6749160,0.9207087,1.4302764,0.0124590
MsgID.GLOBAL_HOME,1529058554.9166660,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1529058554.9169228,True,True
MsgID.GLOBAL_POSITION,1529058554.9250481,-122.3973491,37.7925550,4.9970000
MsgID.LOCAL_VELOCITY,1529058554.9250481,1.6400000,0.9100000,0.0000000
MsgID.LOCAL_POSITION,1529058554.9252422,8.3397379,8.9619055,-4.9970737
MsgID.LOCAL_VELOCITY,1529058554.9252422,1.6403613,0.9141153,0.0068840
