time, Quad.Est.E.Pos, Quad.Est.S.Z
2.789980,0.208947,0.309730
2.794980,0.209303,0.309921
2.799979,0.209423,0.310049
2.804979,0.249593,0.307381
2.809979,0.250049,0.307499
2.814978,0.250533,0.307677
2.819978,0.250751,0.307795
2.824978,0.251296,0.307975
2.829977,0.251707,0.308095
2.834977,0.252264,0.308275
2.839977,0.252653,0.308397
2.844976,0.253192,0.308579
2.849976,0.253553,0.308701
2.854975,0.254119,0.308885
2.859975,0.254536,0.309009
2.864975,0.255162,0.309194
2.869974,0.255597,0.309319
2.874974,0.256190,0.309506
2.879974,0.256595,0.309632
2.884973,0.257192,0.309821
2.889973,0.257684,0.309947
2.894973,0.258300,0.310138
2.899972,0.258737,0.310266
2.904972,0.223963,0.307597
2.909971,0.224169,0.307715
2.914971,0.224354,0.307892
2.919971,0.224438,0.308011
2.924970,0.224609,0.308190
2.929970,0.224683,0.308310
2.934970,0.224883,0.308490
2.939969,0.225018,0.308611
2.944969,0.225264,0.308794
2.949969,0.225462,0.308916
2.954968,0.225728,0.309100
2.959968,0.225888,0.309223
2.964967,0.226164,0.309408
2.969967,0.226352,0.309533
2.974967,0.226623,0.309720
2.979966,0.226800,0.309845
2.984966,0.227046,0.310034
2.989966,0.227193,0.310161
2.994965,0.227497,0.310351
2.999965,0.227779,0.310479
3.004965,0.176093,0.307808
3.009964,0.176024,0.307926
3.014964,0.175937,0.308103
3.019964,0.175763,0.308222
3.024963,0.175754,0.308401
3.029963,0.175826,0.308520
3.034962,0.175791,0.308701
3.039962,0.175763,0.308821
3.044962,0.175759,0.309004
3.049961,0.175765,0.309125
3.054961,0.175786,0.309309
3.059961,0.175766,0.309432
3.064960,0.175796,0.309618
3.069960,0.175877,0.309742
3.074960,0.175952,0.309929
3.079959,0.176040,0.310054
3.084959,0.176143,0.310243
3.089958,0.176308,0.310369
3.094958,0.176405,0.310560
3.099958,0.176458,0.310687
3.104957,0.167172,0.308015
3.109957,0.167151,0.308132
3.114957,0.166981,0.308309
3.119956,0.166923,0.308428
3.124956,0.166759,0.308606
3.129956,0.166663,0.308726
3.134955,0.166505,0.308906
3.139955,0.166373,0.309027
3.144954,0.166185,0.309209
3.149954,0.166065,0.309331
3.154954,0.165892,0.309514
3.159953,0.165791,0.309637
3.164953,0.165609,0.309822
3.169953,0.165537,0.309946
3.174952,0.165405,0.310133
3.179952,0.165314,0.310258
3.184952,0.165196,0.310447
3.189951,0.165049,0.310573
3.194951,0.164906,0.310763
3.199950,0.164797,0.310891
3.204950,0.155857,0.308217
3.209950,0.155799,0.308334
3.214949,0.155694,0.308511
3.219949,0.155616,0.308629
3.224949,0.155483,0.308808
3.229948,0.155396,0.308927
3.234948,0.155270,0.309107
3.239948,0.155174,0.309228
3.244947,0.155045,0.309409
3.249947,0.154976,0.309531
3.254946,0.154886,0.309714
3.259946,0.154814,0.309837
3.264946,0.154727,0.310022
3.269945,0.154680,0.310146
3.274945,0.154611,0.310333
3.279945,0.154556,0.310458
3.284944,0.154489,0.310646
3.289944,0.154440,0.310772
3.294944,0.154356,0.310962
3.299943,0.154327,0.311090
3.304943,0.125644,0.308414
3.309942,0.125366,0.308531
3.314942,0.124976,0.308708
3.319942,0.124703,0.308826
3.324941,0.124306,0.309004
3.329941,0.124060,0.309124
3.334941,0.123608,0.309304
3.339940,0.123297,0.309424
3.344940,0.122834,0.309606
3.349940,0.122524,0.309727
3.354939,0.122052,0.309910
3.359939,0.121742,0.310033
3.364938,0.121281,0.310218
3.369938,0.120969,0.310342
3.374938,0.120533,0.310528
3.379937,0.120264,0.310653
3.384937,0.119855,0.310841
3.389937,0.119573,0.310967
3.394936,0.119187,0.311157
3.399936,0.118932,0.311284
3.404936,0.104314,0.308607
3.409935,0.104155,0.308724
3.414935,0.103912,0.308901
3.419935,0.103759,0.309019
3.424934,0.103534,0.309197
3.429934,0.103379,0.309316
3.434933,0.103140,0.309496
3.439933,0.102978,0.309616
3.444933,0.102703,0.309798
3.449932,0.102533,0.309919
3.454932,0.102294,0.310102
3.459932,0.102135,0.310225
3.464931,0.101871,0.310409
3.469931,0.101684,0.310533
3.474931,0.101403,0.310719
3.479930,0.101196,0.310844
3.484930,0.100911,0.311032
3.489929,0.100744,0.311158
3.494929,0.100477,0.311348
3.499929,0.100264,0.311475
3.504928,0.113674,0.308796
3.509928,0.113863,0.308913
3.514928,0.114095,0.309089
3.519927,0.114267,0.309207
3.524927,0.114524,0.309385
3.529927,0.114667,0.309504
3.534926,0.114921,0.309684
3.539926,0.115099,0.309804
3.544925,0.115349,0.309985
3.549925,0.115521,0.310107
3.554925,0.115781,0.310289
3.559924,0.115962,0.310412
3.564924,0.116241,0.310596
3.569924,0.116413,0.310720
3.574923,0.116677,0.310906
3.579923,0.116808,0.311031
3.584923,0.117069,0.311219
3.589922,0.117183,0.311344
3.594922,0.117427,0.311534
3.599921,0.117615,0.311661
3.604921,0.110941,0.308980
3.609921,0.110573,0.309097
3.614920,0.110078,0.309273
3.619920,0.109794,0.309391
3.624920,0.109295,0.309569
3.629919,0.108979,0.309688
3.634919,0.108472,0.309868
3.639919,0.108128,0.309988
3.644918,0.107587,0.310169
3.649918,0.107250,0.310290
3.654917,0.106732,0.310473
3.659917,0.106417,0.310595
3.664917,0.105874,0.310779
3.669916,0.105398,0.310903
3.674916,0.104822,0.311089
3.679916,0.104319,0.311213
3.684915,0.103727,0.311401
3.689915,0.103367,0.311527
3.694915,0.102797,0.311716
3.699914,0.102457,0.311843
3.704914,0.108715,0.309161
3.709913,0.108508,0.309277
3.714913,0.108062,0.309453
3.719913,0.107680,0.309571
3.724912,0.107262,0.309749
3.729912,0.106956,0.309868
3.734912,0.106468,0.310047
3.739911,0.106122,0.310167
3.744911,0.105618,0.310348
3.749911,0.105244,0.310469
3.754910,0.104679,0.310652
3.759910,0.104251,0.310774
3.764910,0.103648,0.310958
3.769909,0.103361,0.311082
3.774909,0.102783,0.311267
3.779908,0.102587,0.311392
3.784908,0.102007,0.311580
3.789908,0.101623,0.311705
3.794907,0.101018,0.311894
3.799907,0.100662,0.312021
3.804907,0.147500,0.309337
3.809906,0.147304,0.309454
3.814906,0.147071,0.309630
3.819906,0.146878,0.309747
3.824905,0.146643,0.309925
3.829905,0.146434,0.310044
3.834904,0.146215,0.310223
3.839904,0.146066,0.310343
3.844904,0.145850,0.310524
3.849903,0.145683,0.310645
3.854903,0.145403,0.310827
3.859903,0.145235,0.310949
3.864902,0.145001,0.311133
3.869902,0.144791,0.311256
3.874902,0.144555,0.311442
3.879901,0.144494,0.311567
3.884901,0.144288,0.311754
3.889900,0.144003,0.311879
3.894900,0.143761,0.312069
3.899900,0.143713,0.312195
3.904899,0.158475,0.309509
3.909899,0.158534,0.309626
3.914899,0.158606,0.309802
3.919898,0.158632,0.309920
3.924898,0.158679,0.310097
3.929898,0.158698,0.310216
3.934897,0.158707,0.310395
3.939897,0.158696,0.310515
3.944896,0.158673,0.310695
3.949896,0.158669,0.310816
3.954896,0.158673,0.310998
3.959895,0.158731,0.311120
3.964895,0.158780,0.311304
3.969895,0.158805,0.311428
3.974894,0.158881,0.311613
3.979894,0.159001,0.311737
3.984894,0.159076,0.311925
3.989893,0.159176,0.312050
3.994893,0.159270,0.312239
3.999892,0.159393,0.312366
4.004892,0.155478,0.309678
4.009892,0.155474,0.309795
4.014892,0.155334,0.309970
4.019891,0.155203,0.310088
4.024891,0.155073,0.310265
4.029891,0.154967,0.310384
4.034890,0.154805,0.310563
4.039890,0.154693,0.310683
4.044889,0.154517,0.310863
4.049889,0.154382,0.310984
4.054889,0.154200,0.311166
4.059888,0.154061,0.311288
4.064888,0.153877,0.311472
4.069888,0.153801,0.311595
4.074887,0.153676,0.311780
4.079887,0.153571,0.311904
4.084887,0.153428,0.312092
4.089886,0.153274,0.312217
4.094886,0.153083,0.312406
4.099885,0.152922,0.312532
4.104885,0.090675,0.309843
4.109885,0.090538,0.309960
4.114884,0.090328,0.310135
4.119884,0.090180,0.310253
4.124884,0.089907,0.310430
4.129883,0.089721,0.310548
4.134883,0.089471,0.310727
4.139883,0.089301,0.310847
4.144882,0.089038,0.311027
4.149882,0.088840,0.311148
4.154881,0.088487,0.311330
4.159881,0.088230,0.311452
4.164881,0.087792,0.311635
4.169880,0.087483,0.311758
4.174880,0.087001,0.311944
4.179880,0.086682,0.312068
4.184879,0.086130,0.312255
4.189879,0.085680,0.312380
4.194879,0.085059,0.312569
4.199878,0.084656,0.312695
4.204878,0.102894,0.310004
4.209877,0.102733,0.310121
4.214877,0.102436,0.310296
4.219877,0.102262,0.310414
4.224876,0.101912,0.310591
4.229876,0.101694,0.310709
4.234876,0.101247,0.310888
4.239875,0.100949,0.311007
4.244875,0.100427,0.311188
4.249875,0.100046,0.311308
4.254874,0.099421,0.311490
4.259874,0.098959,0.311612
4.264874,0.098312,0.311795
4.269873,0.097868,0.311918
4.274873,0.097194,0.312104
4.279872,0.096720,0.312228
4.284872,0.096005,0.312414
4.289872,0.095704,0.312540
4.294871,0.095002,0.312728
4.299871,0.094385,0.312854
4.304871,0.131980,0.310162
4.309870,0.131655,0.310278
4.314870,0.131146,0.310454
4.319870,0.130759,0.310571
4.324869,0.130274,0.310748
4.329869,0.129954,0.310866
4.334868,0.129398,0.311045
4.339868,0.129026,0.311164
4.344868,0.128456,0.311344
4.349867,0.128071,0.311465
4.354867,0.127497,0.311647
4.359867,0.127110,0.311769
4.364866,0.126491,0.311952
4.369866,0.126045,0.312075
4.374866,0.125406,0.312260
4.379865,0.124912,0.312384
4.384865,0.124210,0.312570
4.389864,0.123730,0.312696
4.394864,0.123001,0.312884
4.399864,0.122525,0.313010
4.404863,0.162176,0.310316
4.409863,0.161887,0.310433
4.414863,0.161362,0.310608
4.419862,0.160961,0.310725
4.424862,0.160392,0.310902
4.429862,0.160034,0.311020
4.434861,0.159503,0.311199
4.439861,0.159160,0.311318
4.444860,0.158581,0.311498
4.449860,0.158183,0.311619
4.454860,0.157541,0.311800
4.459859,0.157071,0.311922
4.464859,0.156379,0.312105
4.469859,0.155905,0.312228
4.474858,0.155197,0.312413
4.479858,0.154772,0.312537
4.484858,0.154108,0.312723
